Entry,Completed,Quarter,Class,Type,Tasks_Predicted,Units,Title,Min_Estimated,Min_Real,InvalidatingFailure,ImpreciseTimes
913,7/24/2020,Summer 2020,STAT330,Homework,1,Sections,Homework 11,90,52,,
914,7/24/2020,Summer 2020,STAT330,Lecture,1,Lectures,Lecture 12,40,28,,
915,7/26/2020,Summer 2020,STAT330,Lab,1,Labs,Lab 11,100,98,,
916,7/26/2020,Summer 2020,STAT330,Homework,1,Sections,Homework 12,90,34,,
917,7/27/2020,Summer 2020,STAT330,Lecture,1,Lectures,Lecture 13,40,24,,
918,7/27/2020,Summer 2020,STAT330,Lab,1,Labs,Lab 12,100,119,,
919,7/27/2020,Summer 2020,STAT331,Midterm,1,Tests,Midterm program and all other tasks,190,244,,
920,7/27/2020,Summer 2020,STAT331,Interview,1,Session,,20,6,,
921,7/27/2020,Summer 2020,STAT331,Quiz,1,Quiz,9,15,5,,
922,7/29/2020,Summer 2020,STAT330,Quiz,1,Quiz,10,15,12,,
923,7/29/2020,Summer 2020,STAT330,Homework,1,Homework,HW 13,80,33,,
924,7/30/2020,Summer 2020,STAT330,Lecture,1,Lectures,14,30,33,,
925,8/1/2020,Summer 2020,STAT330,Lab,1,Labs,13,120,134,,
926,8/1/2020,Summer 2020,STAT330,Homework,1,Homework,14,80,75,,
927,8/3/2020,Summer 2020,STAT330,Lecture,1,Lectures,15,30,27,,
928,8/3/2020,Summer 2020,STAT330,Lab,1,Labs,14,120,90,,
929,8/2/2020,Summer 2020,STAT331,Practice Activity,1,Activity,,20,11,,
930,8/2/2020,Summer 2020,STAT331,Lab,1,Labs,,90,322,1,
931,8/3/2020,Summer 2020,STAT331,Challenge,1,Challenges,,35,54,1,
932,8/10/2020,Summer 2020,STAT330,Estimation,1,Assignment,Estimating and understanding final project,10,6,,
933,7/29/2020,Summer 2020,STAT331,Coursework,1,Coursework,Github,85,75,,
934,8/1/2020,Summer 2020,STAT331,Coursework,1,Coursework,R Packages,25,24,,
935,8/2/2020,Summer 2020,STAT331,Coursework,1,Coursework,Functional Programming,90,177,,
936,8/3/2020,Summer 2020,STAT330,Quiz,1,Quiz,,10,10,,
937,8/5/2020,Summer 2020,STAT331,Coursework,1,Coursework,Distributions and Simulations,100,80,,
938,8/6/2020,Summer 2020,STAT331,Practice Activity,1,Activity,PA 7,60,32,,
939,8/7/2020,Summer 2020,STAT330,Lab,1,Labs,Lab 15,80,179,,
940,8/8/2020,Summer 2020,STAT331,Lab,1,Labs,Lab 7,120,156,,
941,8/8/2020,Summer 2020,STAT331,Challenge,1,Challenges,7,30,73,,
942,8/6/2020,Summer 2020,STAT330,Homework,1,Program,15,25,41,,
943,8/10/2020,Summer 2020,STAT330,Homework,1,Homework,16,90,49,,
944,8/8/2020,Summer 2020,STAT331,Challenge,1,Challenges,,35,35,,
945,8/10/2020,Summer 2020,STAT331,Estimation,1,Assignment,Estimating and understanding final project,10,21,,
946,8/13/2020,Summer 2020,STAT330,Writing,1,Paper,,200,366,,
947,8/28/2020,Summer 2020,STAT331,Projects,1,Projects,Personal Portfolio Website,430,839,,1
948,8/13/2020,Summer 2020,STAT331,Coursework,1,Coursework,,90,58,,
949,8/13/2020,Summer 2020,STAT331,Practice Activity,1,Programs,,30,39,,
950,8/15/2020,Summer 2020,STAT331,Lab,1,Labs,,150,79,,
951,8/15/2020,Summer 2020,STAT331,Challenge,1,Challenges,,60,21,,
952,8/17/2020,Summer 2020,STAT331,Peer Review,3,Peer Reviews,,35,23,,
953,8/19/2020,Summer 2020,STAT331,Coursework,1,Coursework,,80,64,,
954,8/20/2020,Summer 2020,STAT331,Coursework,1,Coursework,,50,62,,
955,8/20/2020,Summer 2020,STAT331,Practice Activity,1,Activity,,25,26,,
956,8/22/2020,Summer 2020,STAT331,Lab,1,Labs,,60,91,,
957,8/22/2020,Summer 2020,STAT331,Challenge,1,Challenges,,30,52,,
958,8/28/2020,Summer 2020,STAT331,Final,1,Tests,,180,261,,
959,8/28/2020,Summer 2020,STAT331,Extra Credit,1,Session,Participating in research study,80,74,,
